guid,date,title,desc,duration,category
22584207,2026-02-13,"Flooding reported as warning in place for Dublin, Wicklow","Mary T. Daly, Director of Operations with Fingal County Council, discusses localised flooding in areas of North Dublin.",143,Weather
22584183,2026-02-13,What does Valentine's Day mean to you?,"Reporter, Andrew Lowth speaks to couples and businesses ahead of Valentines Day.",308,Other
22583753,2026-02-12,7.10am It Says In The Papers,Presented by Shane McElhatton.,222,It Says in Papers
22583754,2026-02-12,Democrats accuse US attorney general of Epstein file 'cover-up',"Sean Whelan, Washington Correspondent, reports on US Attorney General Pam Bondi’s appearance before the House Judiciary Committee on Wednesday.",504,International
22583755,2026-02-12,Govt rent legislation passed by Dáil after 5-hour debate,"Reporter, Barry Gallagher outlines the Residential Tenancies Bill, which will change the law around renting in the country.",250,Politics / Gov
22583756,2026-02-12,No properties available within HAP scheme limits in December,"Ber Grogan, Executive Director at the Simon Communities of Ireland, on the findings of their latest Locked Out of the Market report.",286,Housing
22583757,2026-02-12,Dublin's Great South Wall partially closes for storm repair works,"Eamon McElroy, engineer at Dublin Port, on the temporary closure of part of the Great South Wall in Dublin as a result of storm damage.",209,Science / Nature
22583758,2026-02-12,7.35am Sports News,Presented by Pauric Lodge.,245,Sports
22583759,2026-02-12,SIPTU members at RTÉ vote in confidence ballot,"Kevin Reynolds, SIPTU Union Rep in RTÉ, outlines why staff members in the trade union are voting on a motion of no confidence in RTÉ management and the organisation's strategy.",396,Other
22583760,2026-02-12,McGregor served with compliance notices over social posts,"Aengus Cox, Consumer Affairs Correspondent, reports on the CCPC's latest enforcement action.",279,Other
22583761,2026-02-12,7.50am Business News,Presented by Gail Conway.,244,Business
22583762,2026-02-12,Weather Forecast,Presented by Michelle Dillon.,151,Weather
22583763,2026-02-12,8am News Bulletin,Presented by Vivienne Traynor.,378,News Bulletin
22583764,2026-02-12,8.10am It Says In The Papers,Presented by Shane McElhatton.,236,It Says in Papers
22583765,2026-02-12,HSE review of paediatric consultant's surgeries widened,"Padraig Rice, Chairperson of the Oireachtas Health Committee, on the widening of a HSE review into a paediatric consultant's surgeries.",542,Health / HSE
22583766,2026-02-12,EU must 'tear down barriers' to become 'global giant' - Von der Leyen,"Tony Connelly, Europe Editor, looks ahead to today's meeting of EU leaders aimed at  strengthening the single market to ensure Europe can compete economically with China and the US.",266,International
22583768,2026-02-12,8.35am Sports News,Presented by Pauric Lodge.,371,Sports
22583767,2026-02-12,Army chaplain stabbed in Galway to receive distinguished service medal,"Pat McGrath, Western Correspondent, speaks to Fr. Paul Murphy, an army chaplain who was stabbed outside a barracks in Galway and is being awarded the Defence Forces’ Distinguished Service Medal today.",366,Other
22583769,2026-02-12,Warning over 'highly toxic' plant washed up on Bettystown Beach,"Professor Jennifer McElwain, Head of Botany at Trinity College Dublin, discusses the significance of a sighting of a highly toxic plant on Bettystown Beach in Meath.",321,Other
22583770,2026-02-12,"James Van Der Beek, Dawson's Creek star, dies aged 48","Emer Mc Lysaght, Author and Columnist, on the death of James Van Der Beek, star of Dawson's Creek.",234,Other
22583309,2026-02-11,7.10am It Says In The Papers,Presented by Shane McElhatton.,228,It Says in Papers
22583310,2026-02-11,Trump told police chief 'everyone' knew about Epstein,"David Smith, Washington Bureau Chief with The Guardian, discusses questions facing US Commerce Secretary Howard Lutnick over his ties to the late sex offender Jeffrey Epstein",309,International
22583311,2026-02-11,Taoiseach should raise Seamus Culleton case with Donald Trump -  Mulhall,"Dan Mulhall, former Irish Ambassador to the United States, discusses how the government can address the detention of Kilkenny man Seamus Culleton by US Immigration and Customs Enforcement.",418,Politics / Gov
22583312,2026-02-11,Criticism of Government decision on Donegal to Dublin flights,"Mary Coyle from Donegal Cancer Flights & Services, on the Government’s decision to proceed with a new Donegal-Dublin Public Service Obligation air service in that would remove midday flights.",293,Politics / Gov
22583314,2026-02-11,7.35am Sports News,Presented by Des Cahill,251,Sports
22583315,2026-02-11,"Nine killed, 27 injured in shootings at school and home in Canada","Jordan Armstrong, an anchor with Global News BC discusses one of the worst mass shootings in Canada's history at a school in British Columbia.",337,Crime / Justice
22583316,2026-02-11,"Loftus to raise case with minister, address Oireachtas","Margaret Loftus, former Garda whose ex-husband Trevor Bolger was given a three-month suspended sentence last month for assaulting her in 2012, outlines what she will say in her address to the Oireachtas today.",322,Politics / Gov
22583317,2026-02-11,7.50am Business News,Presented by Adam Maguire.,247,Business
22583318,2026-02-11,Weather Forecast,Presented by Siobhan Ryan,164,Weather
22583319,2026-02-11,8am News Bulletin,Presented by Vivienne Traynor,365,News Bulletin
22583320,2026-02-11,8.10am It Says In The Papers,Presented by Shane McElhatton.,226,It Says in Papers
